2020-05-15 17:59:21 Debug: Notice (8): Undefined variable: averages in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 38]
2020-05-15 17:59:21 Debug: Notice (8): Undefined index: first_sem in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 209]
2020-05-15 17:59:21 Debug: Notice (8): Undefined index: second_sem in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 250]
2020-05-15 18:04:41 Debug: Notice (8): Undefined variable: __STATUS in [C:\wamp\www\ser\api\views\reports\test_spr.ctp, line 10]
2020-05-15 18:04:41 Debug: Notice (8): Undefined variable: __STATUS in [C:\wamp\www\ser\api\views\reports\test_spr.ctp, line 15]
2020-05-15 18:05:29 Debug: Notice (8): Undefined variable: __DATABANK in [C:\wamp\www\ser\api\views\reports\test_spr.ctp, line 4]
2020-05-15 18:05:41 Debug: Notice (8): Undefined variable: data in [C:\wamp\www\ser\api\views\reports\test_spr.ctp, line 4]
2020-05-15 18:11:56 Debug: Notice (8): Undefined variable: student_info in [C:\wamp\www\ser\api\vendors\fpdf17\student_permanent_record.php, line 81]
2020-05-15 18:11:56 Debug: Notice (8): Undefined variable: student_info in [C:\wamp\www\ser\api\vendors\fpdf17\student_permanent_record.php, line 82]
2020-05-15 18:11:56 Debug: Notice (8): Undefined variable: student_info in [C:\wamp\www\ser\api\vendors\fpdf17\student_permanent_record.php, line 83]
2020-05-15 18:11:56 Debug: Notice (8): Undefined variable: student_info in [C:\wamp\www\ser\api\vendors\fpdf17\student_permanent_record.php, line 84]
2020-05-15 18:11:56 Debug: Notice (8): Undefined variable: student_info in [C:\wamp\www\ser\api\vendors\fpdf17\student_permanent_record.php, line 89]
